ที่ทำการ,รหัสไปรษณีย์,ตำแหน่ง,เบอร์โทรศัพท์,สังกัด
สำนักงานไปรษณีย์เขต 6,ฝปข.6,ฝปข.6,091-7723111,ปข.6
สำนักงานไปรษณีย์เขต 6,ผช.ฝปข.6,ผช.ฝปข.6 (ป),062-1955613,ปข.6
สำนักงานไปรษณีย์เขต 6,ผช.ฝปข.6,ผช.ฝปข.6 (ธ),091-7719071,ปข.6
สำนักงานไปรษณีย์เขต 6,รป.,หรป.,062-6045346,ปข.6
สำนักงานไปรษณีย์เขต 6,รป.,งานซ่อมบำรุง,062-6045354,ปข.6
สำนักงานไปรษณีย์เขต 6,รป.,งานเครือข่าย,062-6045347,ปข.6
สำนักงานไปรษณีย์เขต 6,รป.,งานรับฝากและส่งต่อ,062-6045345,ปข.6
สำนักงานไปรษณีย์เขต 6,รป.,งานนำจ่าย,062-6045349,ปข.6
สำนักงานไปรษณีย์เขต 6,อบ.,หอบ.,091-7723746,ปข.6
สำนักงานไปรษณีย์เขต 6,อบ.,งานเจ้าหน้าที่,091-7718858,ปข.6
สำนักงานไปรษณีย์เขต 6,อบ.,งานพัฒนาบุคลากร,062-6045355,ปข.6
สำนักงานไปรษณีย์เขต 6,อบ.,งานธุรการ,062-6045350,ปข.6
สำนักงานไปรษณีย์เขต 6,อบ.,งานกฎหมาย,091-7723744,ปข.6
สำนักงานไปรษณีย์เขต 6,อบ.,งานความปลอดภัยและชีวนามัย,065-9356053,ปข.6
สำนักงานไปรษณีย์เขต 6,ตล.,หตล.,062-6045351,ปข.6
สำนักงานไปรษณีย์เขต 6,ทข.,งานทีมขาย,091-7718728,ปข.6
สำนักงานไปรษณีย์เขต 6,ทข.,งานดูแลลูกค้า,091-7718727,ปข.6
สำนักงานไปรษณีย์เขต 6,ทข.,งานดูแลลูกค้า,091-7718773,ปข.6
สำนักงานไปรษณีย์เขต 6,ทพ.,หทพ.,062-604-5022,ปข.6
สำนักงานไปรษณีย์เขต 6,ทพ.,งานจัดจ้าง,091-771-9072,ปข.6
สำนักงานไปรษณีย์เขต 6,ทพ.,งานยานพาหนะ,091-771-9067,ปข.6
สำนักงานไปรษณีย์เขต 6,ทพ.,คลังพัสดุ ปข.6,091-771-9070,ปข.6
สำนักงานไปรษณีย์เขต 6,ทพ.,งานจัดซื้อ,064-270-4840,ปข.6
สำนักงานไปรษณีย์เขต 6,ตล.,งานแผนงานและประเมินผล,091-7719075,ปข.6
สำนักงานไปรษณีย์เขต 6,ตล.,งานตลาด,091-7723742,ปข.6
สำนักงานไปรษณีย์เขต 6,บค.,หบค.,091-7723749,ปข.6
สำนักงานไปรษณีย์เขต 6,บค.,งานควบคุมคุณภาพบริการ,062-6045348,ปข.6
สำนักงานไปรษณีย์เขต 6,บค.,งานตรวจสอบและสอบสวน,090-980-5602,ปข.6
สำนักงานไปรษณีย์เขต 6,บค.,งานแก้ไขปัญหา COD และ e-Parcel,091-7719073,ปข.6
สำนักงานไปรษณีย์เขต 6,กง.,หกง.,091-7719074,ปข.6
สำนักงานไปรษณีย์เขต 6,กง.,งานการบัญชี,062-6045352,ปข.6
สำนักงานไปรษณีย์เขต 6,กง.,งานงบประมาณและการเงิน,064-2704713,ปข.6
สำนักงานไปรษณีย์เขต 6,กง.,งานบริการการเงินและบริหารการเงิน,064-2704598,ปข.6
สำนักงานไปรษณีย์เขต 6,ทข.,หทข,091-7723740,ปข.6
สำนักงานไปรษณีย์เขต 6,รป.,งานบริการพิเศษ,064-264-6570,ปข.6
ปจ.นครสวรรค์,60000,หน.ปจ.นครสวรรค์,091-7723745,ปข.6
ปจ.นครสวรรค์,60000,ผช.หน.ปจ.นครสวรรค์(ต.1),091-7719076,ปข.6
ปจ.นครสวรรค์,60000,ผช.หน.ปจ.นครสวรรค์ (ป),091-7723735,ปข.6
ปจ.นครสวรรค์,60000,หนผ.ตข,091-7721251,ปข.6
ปจ.นครสวรรค์,60000,หนผ.อก,091-7719038,ปข.6
ปจ.นครสวรรค์,60000,ผบป.,091-7719069,ปข.6
ปจ.นครสวรรค์,60000,หนผ.นจ.1,091-7723738,ปข.6
ปจ.นครสวรรค์,60000,หนส.8,091-7723736,ปข.6
ปจ.นครสวรรค์,60000,ซนจ.6,091-7719068,ปข.6
ปจ.นครสวรรค์,60000,ซนจ.นจ.1,091-7723743,ปข.6
ปจ.นครสวรรค์,60000,หนผ.นจ.2,091-7723732,ปข.6
ปจ.นครสวรรค์,60000,ซนจ.นจ.2,091-7723728,ปข.6
คปณ.บิ๊กซี2,200,หน.คปณ.,091-7723739,ปข.6
หน.ปณ.สวรรค์วิถี,60001,หน.ปณ.,091-7719034,ปข.6
หน.ปณ.จิรประวัติ,60002,หน.ปณ.,091-7719041,ปข.6
หน.ปณ.หนองบัว,60110,หน.ปณ.,091-7722513,ปข.6
หน.ปณ.ชุมแสง,60120,หน.ปณ.,091-7722512,ปข.6
หน.ปณ.พยุหะคีรี,60130,หน.ปณ.,091-7722517,ปข.6
หน.ปณ.ตาคลี,60140,หน.ปณ.,091-7722528,ปข.6
หน.ปณ.ลาดยาว,60150,หน.ปณ.,091-7722520,ปข.6
หน.ปณ.ท่าตะโก,60160,หน.ปณ.,091-7722522,ปข.6
หน.ปณ.โกรกพระ,60170,หน.ปณ.,091-7722506,ปข.6
หน.ปณ.บรรพตพิสัย,60180,หน.ปณ.,091-7722521,ปข.6
หน.ปณ.ตากฟ้า,60190,หน.ปณ.,091-7716691,ปข.6
หน.ปณ.ชุ่องแค,60210,หน.ปณ.,091-7716696,ปข.6
หน.ปณ.ไพศาลี,60220,หน.ปณ.,091-7716698,ปข.6
หน.ปณ.เก้าเลี่ยว,60230,หน.ปณ.,091-7716705,ปข.6
หน.ปณ.หนองเบน,60240,หน.ปณ.,091-7716707,ปข.6
หน.ปณ.ทับกฤช,60250,หน.ปณ.,091-7716701,ปข.6
หน.ปณ.จันเสน,60260,หน.ปณ.,091-7716685,ปข.6
ปจ.อุทัยธานี,61000,หน.ปจ.อุทัยธานี,091-771-6700,ปข.6
ปจ.อุทัยธานี,61000,ผช.หน.ปจ.อุทัยธานี,091-771-9030,ปข.6
ปจ.อุทัยธานี,61000,พนจ.6 ปฏิบัติหน้าที่ ซนจ.,09-1771-6709,ปข.6
ปจ.อุทัยธานี,61000,พนจ.4 ปฏิบัติหน้าที่ ซนจ.,09-1771-6690,ปข.6
ปณภ.หนองฉาง,61110,หน.ปณ.หนองฉาง,091-771-6694,ปข.6
ปณภ.ทัพทัน,61120,หน.ปณ.ทัพทัน,091-771-6692,ปข.6
ปณภ.หนองขาหย่าง,61130,หน.ปณ.หนองขาหย่าง,091-772-3609,ปข.6
ปณภ.บ้านไร่,61140,หน.ปณ.บ้านไร่,091-7723601,ปข.6
ปณภ.สว่างอารมณ์,61150,หน.ปณ.สว่างอารมณ์,091-772-3603,ปข.6
ปณภ.ลานสัก,61160,หน.ปณ.ลานสัก,091-772-3618,ปข.6
ปณภ.เขาบางแกรก,61170,หน.ปณ.เขาบางแกรก,091-772-3599,ปข.6
ปณภ.เมืองการุ้ง,61180,หน.ปณ.เมืองการุ้ง,091-772-3604,ปข.6
ปจ.กำแพงเพชร,62000,หน.ปจ.กำแพงเพชร,091-772-3600,ปข.6
ปจ.กำแพงเพชร,62000,ผช.หน.ปจ.กำแพงเพชร (ต),091-772-3613,ปข.6
ปจ.กำแพงเพชร,62000,หัวหน้าโซนนำจ่าย,091-772-3614,ปข.6
ปจ.กำแพงเพชร,62000,ผช.หน.ปจ.กำแพงเพชร (ป),091-771-9035,ปข.6
ปจ.กำแพงเพชร,62000,หนผ.นจ.ปจ.กำแพงเพชร,091-771-9036,ปข.6
ปจ.กำแพงเพชร,62000,พปท.2,091-772-1255,ปข.6
คปณ.เจริญสุข,94,พปณ.3,064-264-9703,ปข.6
คปณ.ชากังราว,89,พปณ.6,064-264-7907,ปข.6
ปจ.กำแพงเพชร,62000,หนผ.ปด.กำแพงเพชร,091-771-9039,ปข.6
พรานกระต่าย,62110,หน.ปณ.,091-772-3597,ปข.6
คลองขลุง,62120,หน.ปณ.,091-772-0246,ปข.6
ขาณุวรลักษบุรี,62130,หน.ปณ.,091-771-9900,ปข.6
สลกบาตร,62140,หน.ปณ.,091-772-0330,ปข.6
ไทรงาม,62150,หน.ปณ.,091-772-0055,ปข.6
ปากดง,62160,หน.ปณ.,091-772-0044,ปข.6
ลานกระบือ,62170,หน.ปณ.,091-772-0444,ปข.6
คลองลาน,62180,หน.ปณ.,091-772-0808,ปข.6
ทุ่งทราย,62190,หน.ปณ.,091-771-9797,ปข.6
ระหาน,62210,หน.ปณ.,091-772-0606,ปข.6
ปจ.ตาก,63000,หน.ปจ.ตาก,091-772-0600,ปข.6
ปจ.ตาก,63000,ผช.หน.ปจ.ตาก (ป),091-771-9018,ปข.6
ปจ.ตาก,63000,ผช.หน.ปจ.ตาก (ต),091-771-9028,ปข.6
ปจ.ตาก,63000,ผตข.,091-772-0608,ปข.6
ปจ.ตาก,63000,ผนจ.,091-772-0610,ปข.6
ปจ.ตาก,63000,ร/ก ผบป.,091-772-0613,ปข.6
ปณภ.แม่สอด,63110,หน.ปณ.,091-772-0615,ปข.6
ปณภ.แม่สอด,63110,ผนจ.,091-7720505,ปข.6
คปณ.ตลาดริมเมย,58,พปณ.4,064-264-6938,ปข.6
ปณฝ.อินทรคีรี,63111,หน.ปณ.,062-604-5516,ปข.6
ปณภ.บ้านตาก,63120,หน.ปณ.,091-772-0618,ปข.6
